productId;languageId;syncId;productName;productListerDescription;productShortDescription;productLongDescription
GLA403;fr;1743;;Pantalon M10 - Les climats volatils n'excluent pas les grandes aventures\, ils appellent simplement à des techniques ingénieuses - comme le sprint alpin séculaire;Pantalon M10 - Les climats volatils n'excluent pas les grandes aventures\, ils appellent simplement à des techniques ingénieuses - comme le sprint alpin séculaire; Et\, juste au cas où\, une protection anti-bombe: notre coque dure 3 couches la plus récente et la plus légère. Le tissu ripstop en nylon imperméable / respirant doux et pliable du M10 offre une superbe durabilité pour son poids et protège contre les précipitations de la mousson et les rafales de crêtes sommitales. Le pantalon technique à enfiler a une taille élastique et séparée avec une braguette zippée étanche à 2 voies pour une fonctionnalité sans tracas et portable
GAT303;fr;1743;;M10 jkt - Conçu pour ceux qui s'épanouissent dans des montées minces et techniques en conditions alpines complètes\, le nouveau M10 est une étude du minimalisme - et notre coque dure 3 couches la plus légère;M10 jkt - Conçu pour ceux qui s'épanouissent dans des montées minces et techniques en conditions alpines complètes\, le nouveau M10 est une étude du minimalisme - et notre coque dure 3 couches la plus légère; Le tissu ripstop en nylon doux\, imperméable et respirant offre une superbe durabilité pour son poids et protège contre les précipitations de la mousson et les rafales de crêtes sommitales. Les détails comprennent des fermetures à glissière étanches\, un cou et un menton doublés de micropolaire\, une poche extérieure gauche avec fermeture éclair\, des poches chauffe-mains zippées qui remplissent une double fonction en s'étendant dans les fermetures à glissière et des poignets qui s'ajustent avec des fermetures à crochet et boucle. Une simple pression ajuste la capuche compatible avec un casque à 3 voies (avec visière laminée) - ce sont les petites choses qui font la joie de vivre avec des doigts en bois\, une main gantée et un spindrift torrentiel. Coupe slim pour une utilisation technique sur des couches légères à moyennes. <br> <br> <b>Détails:</b> <ul> <li> Tissu 3 couches avec barrière H2No imperméable / respirante et Deluge DWR (eau durable finition répulsive) </li> <li> Capuche compatible avec un casque et réglable en 3 directions avec visière laminée </li> <li> Encolure et menton doublés de micropolaire pour plus de confort et une meilleure protection de la barrière </li> <li> Fermetures à glissière étanches pour des performances par temps humide
GLA707;fr;1743;;Équipage Merino 1 - Dans une journée remplie de décisions\, celle-ci est facile;Équipage Merino 1 - Dans une journée remplie de décisions\, celle-ci est facile; Porté seul\, cet équipage polyvalent à manches longues est frais et sec contre la peau
OXY001;nl;1743;;Merino 2 polo - Het gevoel is Boheems\, de look moet op zijn minst je voet door de deur krijgen;Merino 2 polo - Het gevoel is Boheems\, de look moet op zijn minst je voet door de deur krijgen; Ontworpen voor een actieve levensstijl bij warm tot koel weer\, is Merino 2 gemaakt van 73% merinowol gewikkeld rond een volledig gerecyclede polyester (27%) kern voor een luxueuze hand\, een verbeterde droogtijd en duurzame sterkte. Inherent zacht en comfortabel\, merino is van nature bestand tegen geur\, verplaatst vocht van de huid\, reguleert de lichaamstemperatuur en rekt zich uit. Kenmerken omvatten ingezette mouwen en offset schoudernaden die niet schuren onder de riemen\, een zachte dubbellaagse kraag voor comfort en een volledig bedekte rits-nek die zacht aanvoelt op de huid. We wassen onze merino langzaam voor een zachte huid. Wasmachine koud
GLA1002;fr;1743;;T-shirt Merino 1 - Le trajet en bus hors de Tlachichuca se déroule dans plus de corps que de kilomètres;T-shirt Merino 1 - Le trajet en bus hors de Tlachichuca se déroule dans plus de corps que de kilomètres; Évadez-vous sans être gêné par les qualités respirantes et anti-humidité de ce t-shirt doux. Notre couche de mérinos la plus légère est un tricot jersey doux et très durable\, composé de 63% de laine mérinos filée autour d'un noyau en polyester entièrement recyclé (37%). Super confortable à lui seul par temps chaud ou sous des couches plus froides\, il offre de grandes performances techniques: résistance naturelle aux odeurs\, éloignement de l'humidité de la peau et amélioration des temps de séchage\, régulation de la température corporelle et étirements avec vous. Les coutures décalées aux épaules et la bande de col lisse ajoutent un confort rassurant pour les fatigués de la route. Nous lavons lentement notre mérinos pour une douceur au contact de la peau. Lavage en machine à froid
OXY001;fr;1743;;Polo Merino 2 - La sensation est bohème\, le look devrait au moins mettre le pied dans la porte;Polo Merino 2 - La sensation est bohème\, le look devrait au moins mettre le pied dans la porte; Conçu pour un style de vie actif par temps chaud à froid\, Merino 2 est composé de 73% de laine mérinos enroulé autour d'un noyau en polyester entièrement recyclé (27%) pour une main luxueuse\, un temps de séchage amélioré et une résistance durable. Intrinsèquement doux et confortable\, le mérinos résiste naturellement aux odeurs\, éloigne l'humidité de la peau\, régule la température corporelle et s'étire. Les caractéristiques comprennent des manches montées et des coutures d'épaule décalées qui ne frottent pas sous les sangles du sac\, un col doux à double épaisseur pour plus de confort et un col zippé entièrement recouvert qui est doux contre la peau. Nous lavons lentement notre mérinos pour une douceur au contact de la peau. Lavage en machine à froid
OXY304;nl;1743;;Merino 2 t-shirt - Blijf kalm en verzameld temidden van de razernij van Namche Bazaar in deze veelzijdige laag;Merino 2 t-shirt - Blijf kalm en verzameld temidden van de razernij van Namche Bazaar in deze veelzijdige laag; Ontworpen voor een actieve levensstijl bij warm tot koel weer\, is Merino 2 gemaakt van 73% merinowol gewikkeld rond een volledig gerecyclede polyester (27%) kern voor een luxueuze hand\, een verbeterde droogtijd en duurzame sterkte. Inherent zacht en comfortabel\, merino is van nature bestand tegen geur\, verplaatst vocht van de huid\, reguleert de lichaamstemperatuur en rekt zich uit. Kenmerken omvatten raglanmouwen en versprongen zijnaden die niet schuren onder de riemen\, een kraag van dezelfde stof voor zacht comfort en overlocknaden voor een schone esthetiek. We wassen onze merino langzaam voor een zachte huid. Wasmachine koud
OXY304;fr;1743;;T-shirt Merino 2 - Restez calme et rassemblé au milieu de la frénésie de Namche Bazaar dans cette couche polyvalente;T-shirt Merino 2 - Restez calme et rassemblé au milieu de la frénésie de Namche Bazaar dans cette couche polyvalente; Conçu pour un style de vie actif par temps chaud à froid\, Merino 2 est composé de 73% de laine mérinos enroulé autour d'un noyau en polyester entièrement recyclé (27%) pour une main luxueuse\, un temps de séchage amélioré et une résistance durable. Intrinsèquement doux et confortable\, le mérinos résiste naturellement aux odeurs\, éloigne l'humidité de la peau\, régule la température corporelle et s'étire. Les caractéristiques comprennent des manches raglan et des coutures latérales décalées qui ne frottent pas sous les sangles du sac\, un col en même tissu pour un confort doux et des coutures surjetées pour une esthétique propre. Nous lavons lentement notre mérinos pour une douceur au contact de la peau. Lavage en machine à froid
OXY503;nl;1743;;Migratiehennep shirt - Zomergewicht en zacht\, de Migration is een geïnspireerde fusie van 55% duurzame hennep en 45% zachte organische katoenen stoffen;Migratiehennep shirt - Zomergewicht en zacht\, de Migration is een geïnspireerde fusie van 55% duurzame hennep en 45% zachte organische katoenen stoffen; Lichtgewicht en koel tegen de huid\, reist gemakkelijk tussen een ochtend boulderen en de middag pendelen naar Grand Junction. Offset schoudernaden blijven glad onder het gewicht van een koerierstas. Wordt geleverd met een rechte zoom aan de zijkant en een borstzak met knoopsluiting. Recyclebaar via het Common Threads Recycling-programma. <br> <br> <b> Details :</b> <ul> <li> Zachte ademende hennep en biologisch katoen </li> <li> Voorwaartse schoudernaden </li> < li> Borstzak met knopen </li> <li> Rechte zoom met zijsplitten </li> </ul> <br> <br> <b> Stof: </b> 55% hennep 4 oz % organisch katoen. Recyclebaar via het Common Threads Recycling-programma <br> <br> <b> Gewicht: </b> 223 g (7.9 oz) <br> <br> Gemaakt in China.
VAN403;fr;1743;;Short de planche minimaliste-19 po;Short de planche minimaliste-19 po; - Le minimaliste est parfaitement proportionné - rien de gaspillé\, rien de voulu. Fabriqués en 100% nylon léger mais durable de 4\,3 oz avec une finition DWR à séchage rapide\, ces boardies classiques à 9 entrejambes frappent le genou et ne s'irritent pas. La poche auto-drainante et zippée sur la couture latérale possède une boucle pour les clés\, et la braguette à un seul bouton permet une entrée et un maintien faciles. La couture extérieure (taille 32) est de 19. Recyclable grâce au programme de recyclage des fils communs. <br> <br> <b>Détails:</b> <ul> <li> Le nylon recyclable et léger est durable et sèche rapidement </ li > <li> Braguette à bouton unique à plat et contours de ceinture auto-doublés en 3 parties à la ligne de hanche </li> <li> Poche zippée à couture latérale auto-drainante avec fermeture éclair sécurisée et boucle de clé interne < / li> <li> Entrejambe avant à l'entrejambe élimine les frottements </li> <li> Entrejambe est 9
VEN603;fr;1743;;Minimass - La taille moindre du Mini Mass vous permet de traverser des rues étroites et des allées d'avion sans laisser le chaos dans votre sillage;Minimass - La taille moindre du Mini Mass vous permet de traverser des rues étroites et des allées d'avion sans laisser le chaos dans votre sillage; Ce sac moins est plus a un compartiment rembourré principal avec des manches d'organisation en filet pour les stylos et un téléphone\, et une poche de fermeture avant qui est divisée pour plus d'organisation. Un grand rabat avant comprend une poche zippée furtive pour les articles essentiels à saisir rapidement et une bande réfléchissante pour une visibilité après les heures. La bandoulière propre s'ajuste facilement pour que vous puissiez mettre le Mini au-dessus de votre tête lorsque vous faites du vélo. Fabriqué à partir d'un extérieur tout en polyester 600 deniers léger mais résistant et d'une doublure en polyester 200 deniers lisse
OXY503;fr;1743;;Chemise en chanvre Migration - Légère et douce\, la Migration représente une fusion inspirée de 55% de chanvre durable et de 45% de coton bio moelleux;Chemise en chanvre Migration - Légère et douce\, la Migration représente une fusion inspirée de 55% de chanvre durable et de 45% de coton bio moelleux; Léger et frais contre la peau\, il se déplace facilement entre une matinée de bloc et l'après-midi de trajet jusqu'à Grand Junction. Les coutures décalées aux épaules restent lisses sous le poids d'un sac de courrier. Livré avec un ourlet droit à fente latérale et une poche poitrine boutonnée. Recyclable grâce au programme de recyclage des fils communs. <br> <br> <b>Détails:</b> <ul> <li> Chanvre doux et respirant et coton biologique </li> <li> Coutures avant aux épaules </li> < li> Poche poitrine boutonnée </li> <li> Ourlet droit avec fentes latérales </li> </ul> <br> <br> <b> Tissu: </b> 4 oz 55% chanvre / 45 % coton organique. Recyclable grâce au programme de recyclage des fils communs <br> <br> <b> Poids: </b> 223 g (7\,9 oz) <br> <br> Fabriqué en Chine.
PAND1;fr;1743;;Mlc wheelie - La vitesse de l'alpiniste est de l'essence ne sonne jamais plus vrai que dans les terminaux d'aéroport grouillant;Mlc wheelie - La vitesse de l'alpiniste est de l'essence ne sonne jamais plus vrai que dans les terminaux d'aéroport grouillant; Roulez sur la rampe\, passez devant la foule au carrousel à bagages et sortez avec cette version légèrement plus structurée et sur roues de notre MLC utilitaire (Maximum Legal Carry-on). Le MLC Wheelie a un ensemble de roues super robuste et une poignée en U rétractable pour une meilleure direction\, contrôle\, ergonomie et durabilité. Le compartiment principal contient trois à cinq jours de vêtements et dispose de trois poches zippées pour les articles de toilette et l'électronique. Une autre poche contient un ordinateur portable de 15 pouces ou moins. Les poches zippées extérieures permettent d'accéder facilement aux documents de voyage et aux équipements indispensables.Il y a même une poche doublée de polaire pour les lunettes de soleil. Lorsque les choses deviennent cahoteuses\, vous pouvez supporter la charge avec des sangles de sac à dos qui se cachent lorsqu'elles ne sont pas utilisées. Construit avec un extérieur en polyester recyclé de 1200 deniers et une doublure en polyester de 200 deniers
PAND2;fr;1743;;T-shirt Mountain Island - Pour ceux qui aspirent à fusionner le monde montagnard avec la vie en mer\, le T-Shirt Mountain Island dépeint le cycle de l'eau dans une image singulière et confluente;Mountain Island T-shirt - Voor degenen die de bergwereld willen vermengen met het leven op zee\, toont het Mountain Island T-shirt de watercyclus in een enkelvoudig\, samenvloeiend beeld; Rendu par l'artiste Geoff McFetridge\, le graphisme de la chemise est imprimé sur du coton biologique à l'aide d'encres sans PVC ni phtalates. Les fils filés à l'anneau et les coutures aux épaules scellées ajoutent de la douceur. Recyclable grâce au programme de recyclage des fils communs. <br> <br> <b>Détails:</b> <ul> <li> Fils filés à anneaux pour une main plus douce </li> <li> Coutures d'épaule étanches </li> < li> Les encres de sérigraphie sont sans PVC et sans phtalates </li> </ul> <br> <br> <b> Tissu: </b> 4\,4 oz 100% coton biologique. Recyclable grâce au programme de recyclage des fils communs <br> <br> <b> Poids: </b> (150 g 5\,2 oz) <br> <br> Fabriqué aux États-Unis.
GAT102_EV;fr;1743;;Error during translation;Error during translation;
GAT102_BATCH;fr;1743;;Error during translation;Error during translation;
DP4K-36BLP_CINEMAKIT;zh;1743;;Error during translation;Error during translation;
DP4K-36BLP_KIT;zh;1743;;Error during translation;Error during translation;
5.00E+12;nl;1743;;Error during translation;Error during translation;
PIN01;nl;1743;PINATA;Error during translation;Error during translation;
PIN01;de;1743;PINATA;Error during translation;Error during translation;
PIN01;zh;1743;PINATA;Error during translation;Error during translation;
PIN01;fr;1743;PINATA;Error during translation;Error during translation;
FRIDGE_01;zh;1743;KOELKAST_01;Error during translation;Error during translation;
VAN403;en;1743;VAN403;Error during translation;Error during translation;
VEN603;en;1743;VEN603;Error during translation;Error during translation;
PAND1;en;1743;PAND1;Error during translation;Error during translation;
PAND2;de;1743;;Error during translation;Error during translation; Teruggegeven door kunstenaar Geoff McFetridge\, is de grafische afbeelding gedrukt op organisch katoen met behulp van PVC- en ftalaatvrije inkten. Ringgesponnen garens en getapete schoudernaden zorgen voor zachtheid. Recyclebaar via het Common Threads Recycling-programma. <br> <br> <b> Details :</b> <ul> <li> Ringgesponnen garens voor een zachtere hand </li> <li> Getapete schoudernaden </li> < li> Zeefdrukinkten zijn vrij van pvc en ftalaat </li> </ul> <br> <br> <b> Stof: </b> 100% biologisch katoen van 4\,4 oz. Recyclebaar via het Common Threads Recycling-programma <br> <br> <b> Gewicht: </b> (150 g 5\,2 oz) <br> <br> Gemaakt in de VS.
PAND3;en;1743;PAND3;Error during translation;Error during translation;
MITT_01;nl;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_01;nl;1743;KOELKAST_01;Error during translation;Error during translation;
MITT_01;de;1743;KOELKAST_01;Error during translation;Error during translation;
MITT_01;zh;1743;KOELKAST_01;Error during translation;Error during translation;
MITT_01;fr;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_01;de;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_01;zh;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_01;fr;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_02;zh;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_02;de;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_02;fr;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_02;nl;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_03;de;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_03;nl;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_03;zh;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_04;zh;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_04;nl;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_04;fr;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_04;de;1743;KOELKAST_01;Error during translation;Error during translation;
SPARE_03;fr;1743;KOELKAST_01;Error during translation;Error during translation;
FRIDGE_02;nl;1743;KOELKAST_01;Error during translation;Error during translation;
FRIDGE_02;zh;1743;KOELKAST_01;Error during translation;Error during translation;
FRIDGE_02;de;1743;KOELKAST_01;Error during translation;Error during translation;
FRIDGE_02;fr;1743;KOELKAST_01;Error during translation;Error during translation;
ELIO_01;fr;1743;ELIODEUX;Error during translation;Error during translation;
FRIDGE_03;de;1743;KOELKAST_01;Error during translation;Error during translation;
FRIDGE_03;nl;1743;KOELKAST_01;Error during translation;Error during translation;
FRIDGE_03;zh;1743;KOELKAST_01;Error during translation;Error during translation;
BEMATRIX_READYMADE_DELUX_KIT;nl;1743;;;;
BEMATRIX_READYMADE_DELUX_KIT;zh;1743;;;;
5.43E+12;en;1743;DOG E ADULT DRY CHICKEN 2.5 KG;;;
5.43E+12;zh;1743;;;;
BASIS_WHITE;nl;1743;;Live eenvoudig gitaar-t-shirt - Zacht draagend ringgesponnen organisch katoen;;
5.43E+12;de;1743;;;;
5.43E+12;nl;1743;;;;
5.43E+12;fr;1743;;;;
POMP_HYDRAULISCH;de;1743;WINDSOR DESIGNRADIATOR;;;
GAT102_ROL;nl;1743;;Leef gewoon herten t-shirt - Aanpassingsvermogen is gewoon een kwestie van overleven voor de herten\, die thuis zijn in zowat elke habitat;Leef gewoon herten t-shirt - Aanpassingsvermogen is gewoon een kwestie van overleven voor de herten\, die thuis zijn in zowat elke habitat; Het Live Simply Deer T-shirt heeft originele kunstwerken van Geoff McFetridge en is gedrukt op 100% organisch katoen met inkten die PVC- en ftalaatvrij zijn. Ringgesponnen stoffen garens en getapete schoudernaden zijn zacht op de huid. Recyclebaar via het Common Threads Recycling-programma. <br> <br> <b> Details :</b> <ul> <li> Ringgesponnen garens voor een zachtere hand </li> <li> Getapete schoudernaden </li> < li> Zeefdrukinkten zijn vrij van pvc en ftalaat </li> </ul> <br> <br> <b> Stof: </b> 100% biologisch katoen van 4\,4 oz. Recyclebaar via het Common Threads Recycling-programma <br> <br> <b> Gewicht: </b> (150 g 5\,2 oz) <br> <br> Gemaakt in de VS.
POMP_HYDRAULISCH;en;1743;HYDRAULISCHE POMP VOOR HEFBRUG;;;
POMP_HYDRAULISCH;nl;1743;WINDSOR DESIGNRADIATOR;;;
POMP_HYDRAULISCH;zh;1743;WINDSOR DESIGNRADIATOR;;;
